variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Response,Predictor
b_Intercept,-0.2664494208500091,-0.26660854522922767,0.0823135969128761,0.08272810333375498,-0.401078689474628,-0.1304812765903455,1.0009209984406555,3905.029764425119,4582.73039409205,d,HM
b_Intercept,-0.0068303676985759,-0.00772588200721834,0.09510127375576406,0.09527560297583196,-0.15972129641807326,0.1520351423340113,1.0010183939976827,3613.8883722630007,4043.4702929629657,d,CV
b_Intercept,0.14536757838346945,0.1456237397406992,0.09036559269488098,0.09025199846813393,-0.005881397560040631,0.29385960423103197,1.0010163687163096,3923.83085231915,4561.902725311081,d,AL
b_Intercept,-0.035715373756937716,-0.035626083697454576,0.09018478198544408,0.0877888828007373,-0.1862555403473189,0.1141717206791095,1.0019676849331756,3290.0766284905717,3991.325168410836,d,GM
b_Intercept,-0.03043428589927377,-0.030453037768129847,0.0021364528495706235,0.002070877484339439,-0.03397016971570798,-0.026933716518234868,1.0001197927003551,3993.1376649180365,4026.34795495635,d,YS
b_Intercept,-0.21055752774928013,-0.2095176495346759,0.08022011654102211,0.07970275000291638,-0.34388357653304275,-0.07993054779361063,1.000696303481125,4103.72901906117,3904.300952839288,L,HM
b_Intercept,0.03326221761996256,0.03555315343537754,0.09420046115096406,0.09559858830573954,-0.12406842110334088,0.18705417768339755,1.0000400467988262,3699.467982472632,4867.099415264764,L,CV
b_Intercept,-0.27265763048679886,-0.2721446782528032,0.08901151595922756,0.08808431120585379,-0.42210059863832683,-0.12737260258591343,1.0009608194603985,3795.4686960484228,5113.998036092499,L,AL
b_Intercept,-0.026764373875154356,-0.02647506259442595,0.09010670713935777,0.09096453489421882,-0.17424401452989183,0.11869039293270447,1.0012761066111198,3171.687432453982,4614.56818490567,L,GM
b_Intercept,-0.027053865703442016,-0.027078798851451445,0.00224397081259519,0.0022063437688376792,-0.030755662908694924,-0.023353050059547246,1.000541149217504,3366.3191772413775,4956.563527971569,L,YS
b_Intercept,0.04065182457171081,0.04066397603253166,0.004351950823505982,0.004332432713422088,0.03348341511189989,0.04774154649788753,1.0004070301956691,3791.544375637162,4677.8241699657965,o,HM
b_Intercept,0.0034519428375449674,0.003566574377723149,0.015623445203617543,0.015559034010936076,-0.02233062562723487,0.02906943728997477,1.0000837125358955,4010.139602908655,4952.2807360527495,o,CV
b_Intercept,0.2695127715954657,0.2695825226612887,0.007607856423764915,0.007608562375255985,0.256754407405926,0.28187979789118656,1.0008476302025764,3838.1979084154304,4924.913199317631,o,AL
b_Intercept,-0.058917478350793036,-0.05881646467064937,0.007966960866904163,0.008131245811329514,-0.07203614061403363,-0.045973016267371956,1.0003697976321417,3849.242470847992,5449.877529089259,o,GM
b_Intercept,2.0985040318292822e-5,2.0518820674096916e-5,4.2192598221141235e-5,4.286852002109228e-5,-4.678983273608217e-5,9.111328491543203e-5,1.0004804814485428,3811.5663690755623,4480.865009474824,o,YS
