variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Predictor
b_Intercept,0.06305407679689887,0.06302739661916384,0.0039353360308706465,0.0040646183984877045,0.05654946266308051,0.06945881743817674,1.0004213484871494,1188.3135618901642,1808.0917633563588,N_Years
sigma,0,0,0,0,0,0,NA,NA,NA,N_Years
lprior,-1.9173268274885444,-1.9173253866791304,3.104026634123157e-5,3.206382907377505e-5,-1.9173809526073666,-1.9172790738327894,1.0004213484871494,1188.3135618901642,1808.0917633563588,N_Years
lp__,45.852473844264104,46.1225899284057,0.7063350412301242,0.3490373464165386,44.40894757180008,46.37575796598508,1.0008921498289787,1876.5119514810178,2678.5488377182014,N_Years
b_Intercept,-0.0044586785771169235,-0.004408769962856173,0.007601025963570787,0.0074167663930440235,-0.017096796007763194,0.008059641748477654,1.0019905302252632,1469.7932405540785,1963.0864342315608,Humans
sigma,0,0,0,0,0,0,NA,NA,NA,Humans
lprior,-1.9171878631500787,-1.9171833954989785,1.158205858827684e-5,5.208095508473343e-6,-1.9172117302267924,-1.917179614798364,1.0025641817390492,2003.9903547921406,2166.4285767570245,Humans
lp__,35.8513516657835,36.12699174281234,0.702700668680251,0.29293480311311815,34.45798102248236,36.33796773631591,1.001669182863542,1755.163583530086,2574.5917358496963,Humans
b_Intercept,-0.0035815996265400316,-0.003568542902848125,0.028868181811928337,0.028869161426750545,-0.050820594250563386,0.042939512502164746,1.0006438162952764,1445.9677731005409,1685.3765202243728,CV
sigma,0,0,0,0,0,0,NA,NA,NA,CV
lprior,-1.9172698142561566,-1.9172204963046462,1.3104009136753023e-4,5.5642673371187884e-5,-1.9175182964792556,-1.9171799321198406,1.0007192909189018,1861.7168813964868,1868.9142207824234,CV
lp__,-7.344281623192654,-7.051610478246527,0.7796073100941804,0.33526459546870385,-8.796562826878167,-6.80988011219546,1.0006343810035547,1835.0113255753954,1905.543455793129,CV
b_Intercept,-0.14684976304144703,-0.14683748239139272,0.013207024522305917,0.01346137174544419,-0.16862187776199086,-0.12538177882859833,1.0023234243614283,1309.733254416974,1508.9130703301923,Alpha
sigma,0,0,0,0,0,0,NA,NA,NA,Alpha
lprior,-1.9174322844223,-1.9174135678002928,1.348154428566815e-4,1.318914259237775e-4,-1.9176818077854936,-1.9172482987152504,1.0023070772111717,1310.8582257364833,1508.9130703301923,Alpha
lp__,18.05488090484701,18.317768410570626,0.6947905836140118,0.313947483400422,16.68412521229458,18.546543328505418,1.0020094919716778,1818.7388416394142,2265.9402665680227,Alpha
b_Intercept,0.032518296561500924,0.03243951231401303,0.013858080324392895,0.01386032508668507,0.010132810908759393,0.05573228564139238,1.0009350215871677,1127.8129171305272,1734.758856184875,Gamma
sigma,0,0,0,0,0,0,NA,NA,NA,Gamma
lprior,-1.9173128478804013,-1.917291826038397,1.0125592794176731e-4,9.151398498794773e-5,-1.9175108700809669,-1.9171907202521694,1.000843421922994,1107.7650806985732,1734.7588561848747,Gamma
lp__,7.5208995642082135,7.790853267652156,0.7203157055127545,0.3134567932119759,6.07981937828986,8.01847167835056,1.000026885342548,2033.4454849834144,2471.1970727861967,Gamma
