AOU,English_Common_Name,ConsolAOU,ProblemTaxa
6610,Blackpoll Warbler,6610,FALSE
2980,Spruce Grouse,2980,FALSE
5090,Rusty Blackbird,5090,FALSE
7260,Brown Creeper,7260,FALSE
7350,Black-capped Chickadee,7353,TRUE
7350,Black-capped Chickadee,7354,TRUE
7350,Black-capped Chickadee,7352,TRUE
3000,Ruffed Grouse,3000,FALSE
4000,Black-backed Woodpecker,4000,FALSE
5570,Golden-crowned Sparrow,5570,FALSE
4660,Willow Flycatcher,4665,TRUE
4750,Black-billed Magpie,4750,FALSE
7480,Golden-crowned Kinglet,7480,FALSE
5330,Pine Siskin,5330,FALSE
6970,American Pipit,6970,FALSE
7280,Red-breasted Nuthatch,7280,FALSE
7680,Mountain Bluebird,7680,FALSE
6210,Northern Shrike,6210,FALSE
4020,Yellow-bellied Sapsucker,4020,FALSE
5360,Lapland Longspur,5360,FALSE
7470,Arctic Warbler,7470,FALSE
5370,Smith's Longspur,5370,FALSE
3020,Rock Ptarmigan,3020,FALSE
7650,Northern Wheatear,7650,FALSE
4780,Steller's Jay,4780,FALSE
4890,Northwestern Crow,4882,TRUE
2971,Sooty Grouse,2973,TRUE
4030,Red-breasted Sapsucker,4030,FALSE
4641,Pacific-slope Flycatcher,4642,TRUE
5671,(Oregon Junco) Dark-eyed Junco,5671,FALSE
7221,Pacific Wren,7220,TRUE
7410,Chestnut-backed Chickadee,7410,FALSE
4330,Rufous Hummingbird,4335,TRUE
5677,(unid. race) Dark-eyed Junco,5677,FALSE
6560,(Audubon's Warbler) Yellow-rumped Warbler,6560,FALSE
4240,Vaux's Swift,4240,FALSE
6556,(unid. Myrtle/Audubon's) Yellow-rumped Warbler,6556,FALSE
6291,Cassin's Vireo,6295,TRUE
6291,Cassin's Vireo,6296,TRUE
4130,(Red-shafted Flicker) Northern Flicker,4130,FALSE
5170,Purple Finch,5170,FALSE
3120,Band-tailed Pigeon,3120,FALSE
6070,Western Tanager,6070,FALSE
4679,unid. Empidonax flycatcher,4679,FALSE
3080,Sharp-tailed Grouse,3080,FALSE
7354,unid. Black-capped Chickadee / Boreal Chickadee,7354,TRUE
5240,Gray-crowned Rosy-Finch,5240,FALSE
5340,Snow Bunting,5340,FALSE
3091,Ring-necked Pheasant,3091,FALSE
4470,Western Kingbird,4447,TRUE
4402,unid. hummingbird,4402,FALSE
4640,Cordilleran Flycatcher,4642,TRUE
6960,Eastern Yellow Wagtail,6960,FALSE
6940,White Wagtail,6940,FALSE
5270,Hoary Redpoll,5270,FALSE
7640,Bluethroat,7640,FALSE
6990,Red-throated Pipit,6990,FALSE
6185,unid. Cedar Waxwing / Bohemian Waxwing,6185,TRUE
4220,Black Swift,4220,FALSE
5011,Western Meadowlark,5012,TRUE
5100,Brewer's Blackbird,5100,FALSE
5380,Chestnut-collared Longspur,5380,FALSE
5400,Vesper Sparrow,5400,FALSE
5610,Clay-colored Sparrow,5610,FALSE
6050,Lark Bunting,6050,FALSE
7000,Sprague's Pipit,7000,FALSE
4970,Yellow-headed Blackbird,4970,FALSE
5450,Baird's Sparrow,5450,FALSE
2881,Gray Partridge,2881,FALSE
5390,McCown's Longspur,5390,FALSE
5620,Brewer's Sparrow,5620,FALSE
5880,Spotted Towhee,5871,TRUE
4940,Bobolink,4940,FALSE
7150,Rock Wren,7150,FALSE
5990,Lazuli Bunting,5990,FALSE
5960,Black-headed Grosbeak,5960,FALSE
5480,LeConte's Sparrow,5480,FALSE
4021,Red-naped Sapsucker,4021,FALSE
5180,Cassin's Finch,5180,FALSE
7380,Mountain Chickadee,7353,TRUE
4690,Dusky Flycatcher,4689,TRUE
4910,Clark's Nutcracker,4910,FALSE
4360,Calliope Hummingbird,4360,FALSE
5580,White-throated Sparrow,5580,FALSE
5080,Bullock's Oriole,5077,TRUE
5140,Evening Grosbeak,5140,FALSE
7670,Western Bluebird,7670,FALSE
2970,Dusky Grouse,2973,TRUE
4642,unid. Cordilleran / Pacific-slope Flycatcher,4642,TRUE
7240,Sedge Wren,7240,FALSE
5491,Nelson's Sparrow,5491,FALSE
5950,Rose-breasted Grosbeak,5950,FALSE
4022,unid. sapsucker,4022,FALSE
5840,Swamp Sparrow,5840,FALSE
6780,Connecticut Warbler,6780,FALSE
6790,Mourning Warbler,6790,FALSE
6500,Cape May Warbler,6500,FALSE
6570,Magnolia Warbler,6570,FALSE
6295,unid. Cassin's Vireo / Blue-headed Vireo,6295,TRUE
6720,Palm Warbler,6720,FALSE
6600,Bay-breasted Warbler,6600,FALSE
6860,Canada Warbler,6860,FALSE
7222,Winter Wren,7220,TRUE
7220,unid. Pacific Wren / Winter Wren,7220,TRUE
4689,unid. Hammond's Flycatcher / Dusky Flycatcher,4689,TRUE
6450,Nashville Warbler,6450,FALSE
5077,unid. Bullock's Oriole / Baltimore Oriole,5077,TRUE
5012,unid. Eastern Meadowlark / Western Meadowlark,5012,TRUE
5225,unid. Red Crossbill / White-winged Crossbill,5225,TRUE
4665,unid. Alder Flycatcher / Willow Flycatcher,4665,TRUE
3090,Greater Sage-Grouse,3090,FALSE
2950,Gambel's Quail,2950,FALSE
4290,Black-chinned Hummingbird,4295,TRUE
4480,Cassin's Kingbird,4447,TRUE
4540,Ash-throated Flycatcher,4540,FALSE
4691,Gray Flycatcher,4691,FALSE
4920,Pinyon Jay,4920,FALSE
5730,Black-throated Sparrow,5730,FALSE
7070,Curve-billed Thrasher,7070,FALSE
7080,Bendire's Thrasher,7080,FALSE
7331,Juniper Titmouse,7332,TRUE
5910,Canyon Towhee,5910,FALSE
4250,White-throated Swift,4250,FALSE
5738,Sagebrush Sparrow,5740,TRUE
6292,Plumbeous Vireo,6296,TRUE
6340,Gray Vireo,6340,FALSE
6650,Black-throated Gray Warbler,6650,FALSE
7430,Bushtit,7430,FALSE
6440,Virginia's Warbler,6440,FALSE
7020,Sage Thrasher,7020,FALSE
4320,Broad-tailed Hummingbird,4320,FALSE
4813,Woodhouse's Scrub-Jay,4810,TRUE
5040,Scott's Oriole,5040,FALSE
5800,Rufous-crowned Sparrow,5800,FALSE
7170,Canyon Wren,7170,FALSE
3960,Ladder-backed Woodpecker,3960,FALSE
5900,Green-tailed Towhee,5900,FALSE
5650,Black-chinned Sparrow,5650,FALSE
5300,Lesser Goldfinch,5300,FALSE
6330,Bell's Vireo,6330,FALSE
7130,Cactus Wren,7130,FALSE
5780,Cassin's Sparrow,5780,FALSE
7460,Verdin,7460,FALSE
4870,Chihuahuan Raven,4865,TRUE
4080,Lewis's Woodpecker,4080,FALSE
6640,Grace's Warbler,6640,FALSE
3850,Greater Roadrunner,3850,FALSE
6430,Lucy's Warbler,6430,FALSE
7520,Black-tailed Gnatcatcher,7520,FALSE
6200,Phainopepla,6200,FALSE
4530,Brown-crested Flycatcher,4530,FALSE
5740,unid. Sagebrush Sparrow / Bell's Sparrow,5740,TRUE
4460,Tropical Kingbird,4462,TRUE
4820,Mexican Jay,4820,FALSE
4040,Williamson's Sapsucker,4040,FALSE
5690,(Gray-headed Junco) Dark-eyed Junco,5690,FALSE
6900,Red-faced Warbler,6900,FALSE
7300,Pygmy Nuthatch,7300,FALSE
6090,Hepatic Tanager,6090,FALSE
4070,Acorn Woodpecker,4070,FALSE
7120,Crissal Thrasher,7120,FALSE
5120,Great-tailed Grackle,5135,TRUE
7110,LeConte's Thrasher,7110,FALSE
4300,Costa's Hummingbird,4300,FALSE
4140,Gilded Flicker,4140,FALSE
4310,Anna's Hummingbird,4310,FALSE
4110,Gila Woodpecker,4110,FALSE
4710,Vermilion Flycatcher,4710,FALSE
5050,Hooded Oriole,5050,FALSE
6320,Hutton's Vireo,6320,FALSE
6880,Painted Redstart,6880,FALSE
7340,Bridled Titmouse,7340,FALSE
4580,Black Phoebe,4580,FALSE
4960,Bronzed Cowbird,4955,TRUE
6510,Olive Warbler,6510,FALSE
4600,Greater Pewee,4600,FALSE
5920,Abert's Towhee,5920,FALSE
5940,Pyrrhuloxia,5935,TRUE
5700,Yellow-eyed Junco,5700,FALSE
4510,Sulphur-bellied Flycatcher,4510,FALSE
2930,Scaled Quail,2930,FALSE
6000,Varied Bunting,6000,FALSE
4720,Northern Beardless-Tyrannulet,4720,FALSE
5790,Rufous-winged Sparrow,5790,FALSE
4550,Dusky-capped Flycatcher,4550,FALSE
5760,Botteri's Sparrow,5760,FALSE
4410,Broad-billed Hummingbird,4410,FALSE
4865,unid. Chihuahuan Raven / Common Raven,4865,TRUE
3975,Arizona Woodpecker,3975,FALSE
2960,Montezuma Quail,2960,FALSE
4451,Thick-billed Kingbird,4451,FALSE
3890,Elegant Trogon,3890,FALSE
4270,Blue-throated Mountain-gem,4270,FALSE
4260,Rivoli's Hummingbird,4260,FALSE
4391,Violet-crowned Hummingbird,4391,FALSE
16600,Sinaloa Wren,16600,FALSE
4411,Rose-throated Becard,4411,FALSE
2882,Chukar,2882,FALSE
4447,unid. Cassin's Kingbird / Western Kingbird,4447,TRUE
3201,Ruddy Ground Dove,3201,FALSE
7370,Mexican Chickadee,7370,FALSE
5935,unid. Northern Cardinal / Pyrrhuloxia,5935,TRUE
4430,Scissor-tailed Flycatcher,4430,FALSE
2940,California Quail,2940,FALSE
7353,unid. Black-capped Chickadee / Mountain Chickadee,7353,TRUE
7351,unid. western chickadee species,7351,FALSE
2973,unid. Dusky Grouse / Sooty Grouse,2973,TRUE
4730,Eurasian Skylark,4730,FALSE
5195,unid. Purple Finch / Cassin's Finch / House Finch,5195,TRUE
4882,unid. American Crow / Northwestern Crow,4882,TRUE
4340,Allen's Hummingbird,4335,TRUE
6690,Hermit Warbler,6685,TRUE
2920,Mountain Quail,2920,FALSE
5911,California Towhee,5911,FALSE
4812,California Scrub-Jay,4810,TRUE
