RTENO,CV_gpp,MEAN_gpp
14001,0.08163353057836167,262.9872772532809
14004,0.05163626833407459,418.4292914213371
14005,0.04650008305411217,450.1752927684377
14006,0.05834849464157764,375.95691924657586
14014,0.0423983797214978,496.0203657179569
14074,0.05764901583651454,390.48305444544593
14075,0.0474644116406275,454.41911386274694
14081,0.04115225026532768,525.2729365533722
14160,0.06237184013244895,293.8387784004568
14164,0.09562114903881218,241.60156769567155
14167,0.07833258182001063,300.7466756463481
14174,0.0834907107846622,326.05904304487836
14178,0.05204732620443299,373.22645745799394
14182,0.04357513842785152,483.27230427488706
14193,0.05540199137943469,407.2136270664067
14200,0.06170653238786099,392.8020460647367
14210,0.05274232354454782,432.9439521457638
14401,0.06087522758495414,382.4723683596566
14402,0.07045589857858271,351.6917020671195
14409,0.0797872056449542,303.72297838692197
14428,0.06062816569288316,357.1598138657527
14431,0.1003193372318882,250.86803830727484
14435,0.07243335629377384,351.37585599635474
14902,0.0725010763975249,336.27162268785787
14903,0.1154538189376724,299.17724807002776
14908,0.05439055183069595,421.00321177624096
14953,0.11668320686850914,293.3232628835811
69001,0.06440624832837119,344.3636189898272
69009,0.06037922270719925,395.25669407916854
69018,0.0446118399392096,288.4362248213656
69025,0.04981489938703978,436.0842078926211
69026,0.06118989756996651,310.1607134009766
69033,0.06234249598802095,234.58993038828015
69040,0.05697676291519851,236.97723006773924
69050,0.04495194114674394,331.4049646106291
69057,0.07985587482210527,462.5568952282702
69058,0.07922753858600634,313.9815654224217
69117,0.04901787419978776,408.20799506330275
69142,0.06477533097482993,353.36574638300726
69201,0.06244965238861882,376.16768372150113
69209,0.06038872298900246,391.1329125737227
69217,0.05194728067622933,427.5079614746973
69218,0.04760119054936542,292.8386442524476
69225,0.05143519801657725,432.5190727716431
69226,0.06178044700256933,295.0886388537821
69233,0.06318932973605677,236.89811889519595
69236,0.05677617856384821,402.6812839123572
69243,0.04943097100964484,380.3340857135939
69250,0.0581766551918468,290.46971644075296
69902,0.08686556971180587,361.5912573782337
89001,0.08389436330248361,342.10773607047287
89002,0.0644448826308076,249.76221876504297
89009,0.07473748148766683,343.05397710985727
89010,0.06441028461600264,327.5778983803914
89017,0.06741712822401522,326.1854311828227
89040,0.07048329853528422,305.71654407476154
89041,0.06161881323956208,290.68177628478685
89053,0.08059689807303189,278.663363616592
89059,0.07871294464423216,319.2773069211525
89078,0.0696047139954706,317.4226096266794
89133,0.0920740752338355,322.47435486426946
14011,0.12536837413985427,243.62880593845972
14077,0.07497730732188852,254.93198910504097
14169,0.08189602509825272,202.3978690731496
14175,0.10186624455137255,145.06182800702493
14198,0.09215962694031804,172.62570801735674
14403,0.100779004698622,227.05513958724003
14404,0.09666412572067444,212.4707003328038
14410,0.1296546019104173,220.8120581306024
14901,0.07501629660125822,169.86867693128175
14003,0.08702750554501357,169.20509708561192
14073,0.11952115627461551,82.24742208984725
14076,0.14854187219169654,64.2127384337323
14151,0.10695751066330483,133.61524087286088
14162,0.19071319804103493,54.925303396720146
14165,0.07758609481899838,130.83509605687797
14166,0.13962182736978598,145.6267109429295
14168,0.09554276986322828,146.55719769121467
14176,0.12964207784091938,62.73197875280813
14177,0.0992755676512516,133.5027979088469
14199,0.10011070875393586,196.4872044528861
14405,0.07383587539660086,134.00741939470709
14406,0.09740643557692684,148.3859880501667
14407,0.07577405773251315,106.02716161241344
14408,0.10102874064341032,110.86875664974978
14412,0.10196494388673488,141.4905065175914
14430,0.0920499058979464,192.9578108174294
14900,0.08404307130466078,127.25468611390218
14009,0.09549276588000408,155.77253127262972
14013,0.10862821097368218,227.08231883142244
14078,0.08433753925567418,228.34951845997736
14095,0.07421101752409202,244.52510171172256
14158,0.0943393068206745,145.35244980257235
14180,0.094556735325354,219.40529255431431
14181,0.11662245847097616,207.03676417154136
14184,0.07671480265895073,279.6683633972689
14185,0.0702027843487367,276.5674389374222
14188,0.09851410555856983,229.33819574644755
14201,0.1279307335230122,193.88449049618225
14213,0.10274780408365489,238.27817081336613
14308,0.09752773185536366,189.62834898396488
14413,0.09624198438152252,181.12212238217265
14414,0.08495769020323869,166.85800120662856
14415,0.11155798982393474,219.1423673539342
14416,0.11349823480692312,231.99437936074625
14417,0.0843665265650843,173.52802668902186
14418,0.08462250054975119,253.89026547295484
14419,0.08530725814290575,236.3449636589027
14420,0.06117599050515136,294.9153692920579
14421,0.10715917244521209,224.0657882824045
14433,0.09342875055494244,134.3430415823952
14434,0.0646562774641635,241.53083355635223
